time,Total Free energy
0,319.043839401225
0.1,319.034501426274
0.25,319.006644735946
0.475,318.962852105183
0.8125,318.892140737786
1.31875,318.773283587044
2.078125,318.560187916107
3.2171875,318.134354088041
4.92578125,317.099985315468
7.488671875,313.450803489653
8.7701171875,309.612540608877
10.69228515625,298.603845743057
11.653369140625,289.705965329632
13.0949951171875,271.808741132028
13.8158081054688,261.273586395824
14.8970275878906,245.364418383187
15.4376373291016,238.007534754877
16.248551940918,228.612942011108
17.4649238586426,218.797349581687
18.0731098175049,215.571577734687
18.9853887557983,212.189526678927
20.3538071632385,208.989928117987
21.0380163669586,207.810291386512
22.0643301725388,206.260129552821
23.603800880909,204.150371826725
25.9130069434643,201.115171787773
27.0676099747419,199.595202249517
28.7995145216584,197.288625772949
31.3973713420331,193.751374026523
32.6962997522205,191.94194477317
34.6446923675016,189.180484228148
35.6188886751421,187.777991611622
37.0801831366029,185.650936928573
39.272124828794,182.411776955995
40.3680956748896,180.76663298763
42.012051944033,178.283236121448
42.8340300786047,177.052427345925
44.0669972804622,175.251326286591
44.683480881391,174.372384256708
45.6082062827842,173.079129268715
46.9952943848739,171.187205340491
49.0759265380085,168.432982492392
50.1162426145758,167.081948345658
51.6767167294267,165.075647483129
54.0174279017031,162.148199482761
55.1877834878413,160.740504227935
56.9433168670487,158.689472842141
57.8210835566523,157.677641780765
59.1377335910578,156.161867375055
61.112708642666,153.94500847049
62.1001961684701,152.89896319005
62.5939399313722,152.397304184296
63.3345555757253,151.67088516837
64.4454790422549,150.633462772195
66.1118642420494,149.173200558639
68.611442041741,147.146443957682
69.8612309415868,146.190736691242
71.7359142913556,144.816525436954
74.5479393160087,142.866668692051
75.9539518283353,141.933711857797
78.0629705968251,140.583255390871
79.11747998107,139.92903389523
80.6992440574374,138.973495409173
83.0718901719885,137.588383788424
84.258213229264,136.917485816424
84.8513747579018,136.590888448519
85.7411170508584,136.115202117473
87.0757304902934,135.433891739136
89.0776506494459,134.475183198214
92.0805308881745,133.14099306793
93.5819710075389,132.502189750209
95.8341311865854,131.555285543629
96.9602112761087,131.091845184796
97.5232513208703,130.866975925299
98.3678113880128,130.540253534978
99.6346514887264,130.072791221724
101.534911639797,129.414741490114
104.385301866403,128.503470998662
105.810496979706,128.074396989046
107.94828964966,127.4548847683
109.017185984637,127.153031798299
110.620530487103,126.704877534173
111.422202738336,126.480700720013
112.624711115185,126.140525584919
114.428473680459,125.624050092353
115.330354963096,125.371369102711
116.683176887051,125.012401833066
117.359587849029,124.84195801794
118.374204291996,124.596213953053
119.896128956446,124.246111267891
122.17901595312,123.752260818785
125.603346448133,123.05853678529
130.739842190651,122.082835945867
133.30809006191,121.614978294447
137.160461868799,120.931938565034
142.939019579132,119.941267477798
145.828298434299,119.458496771824
150.162216717049,118.748290537123
156.663094141174,117.710399953683
159.913532853236,117.201404081358
164.78919092133,116.446319762683
167.227019955377,116.070498079513
170.883763506447,115.50412239878
172.712135281982,115.217173971406
175.454692945285,114.774573371304
176.825971776936,114.543300506889
178.882890024413,114.169286746978
179.911349148151,113.962245462424
181.454037833759,113.621722642224
182.225382176563,113.445809354939
183.382398690769,113.196349565613
183.960906947872,113.080998873912
184.828669333526,112.920144352235
186.130312912008,112.70214557063
188.08277827973,112.413425590911
191.011476331314,112.032381402968
195.404523408689,111.516865864841
201.994094024751,110.794103061043
205.288879332783,110.444905552327
210.23105729483,109.93277885537
217.644324237901,109.188257151644
221.350957709436,108.825693364768
226.910907916739,108.293250115256
235.250833227694,107.518585290831
239.420795883171,107.141215342227
245.675739866387,106.587017516174
248.803211857995,106.314978544171
253.494419845406,105.913055812742
260.531231826524,105.323463252548
264.049637817083,105.034345858141
269.327246802922,104.607585480367
277.243660281679,103.982450736902
